stage,input,output,runtime,status,started_at_utc,finished_at_utc,duration_seconds,log
01_data_quality,notebooks/01_data_quality.py,reports/html/01_data_quality.html,cpu,success,2026-07-02T14:18:24.992539+00:00,2026-07-02T14:20:00.366682+00:00,95.374,reports/logs/01_data_quality.log
02_eda_polars_duckdb,notebooks/02_eda_polars_duckdb.py,reports/html/02_eda_polars_duckdb.html,cpu-parallel,success,2026-07-02T14:20:00.367369+00:00,2026-07-02T14:20:28.936185+00:00,28.569,reports/logs/02_eda_polars_duckdb.log
02_eda,notebooks/02_eda.py,reports/html/02_eda.html,cpu,success,2026-07-02T14:20:00.367231+00:00,2026-07-02T14:20:56.828776+00:00,56.462,reports/logs/02_eda.log
03_market_analysis,notebooks/03_market_analysis.py,reports/html/03_market_analysis.html,cpu,success,2026-07-02T14:20:56.829225+00:00,2026-07-02T14:21:21.338505+00:00,24.509,reports/logs/03_market_analysis.log
06_text_classification_TorchCUDA,notebooks/06_text_classification_TorchCUDA.py,reports/html/06_text_classification_TorchCUDA.html,cuda,success,2026-07-02T14:20:00.368983+00:00,2026-07-02T14:27:08.004081+00:00,427.635,reports/logs/06_text_classification_TorchCUDA.log
04_clustering_TorchCUDAKMeans,notebooks/04_clustering_TorchCUDAKMeans.py,reports/html/04_clustering_TorchCUDAKMeans.html,cuda,success,2026-07-02T14:27:08.004533+00:00,2026-07-02T14:28:06.787140+00:00,58.783,reports/logs/04_clustering_TorchCUDAKMeans.log
05_price_prediction_TorchCUDA,notebooks/05_price_prediction_TorchCUDA.py,reports/html/05_price_prediction_TorchCUDA.html,cuda,success,2026-07-02T14:28:06.788046+00:00,2026-07-02T14:37:03.721987+00:00,536.934,reports/logs/05_price_prediction_TorchCUDA.log
05_price_prediction,notebooks/05_price_prediction.py,reports/html/05_price_prediction.html,cpu,success,2026-07-02T14:20:56.829827+00:00,2026-07-02T15:28:59.933020+00:00,4083.103,reports/logs/05_price_prediction.log
06_text_classification,notebooks/06_text_classification.py,reports/html/06_text_classification.html,cpu,success,2026-07-02T14:20:00.368326+00:00,2026-07-02T15:44:17.328472+00:00,5056.960,reports/logs/06_text_classification.log
04_clustering_StandardKMeans,notebooks/04_clustering_StandardKMeans.py,reports/html/04_clustering_StandardKMeans.html,cpu,success,2026-07-02T14:20:56.830373+00:00,2026-07-02T16:25:12.627643+00:00,7455.797,reports/logs/04_clustering_StandardKMeans.log
04_clustering_MiniBatchKMeans,notebooks/04_clustering_MiniBatchKMeans.py,reports/html/04_clustering_MiniBatchKMeans.html,cpu,success,2026-07-02T14:20:56.829340+00:00,2026-07-02T16:27:46.744518+00:00,7609.915,reports/logs/04_clustering_MiniBatchKMeans.log
